workbook_row,creature_id,common_name,scientific_name_printed,outcome,reasons,workbook_human_review_required,source_id,source_book_page,source_pdf_page,source_tile,identity_confidence,identity_confidence_score,text_transcription_confidence,source_title_common_ocr,source_title_scientific_ocr,identification_evidence
2,011cdb74-eaa5-5851-8ae7-3bba7319f9d2,Starry Triggerfish,Abalistes stellatus,included,,True,SRC-37787281,404,405,bl,high,100,high,,,"ID: Grayish undercolor with yellow to yellow-brown network 3-4 alternating blackish and white blotches on back; narrow tail base. Solitary. Muddy or fine silt and sand bottoms occasionally near reefs in 4-120 m. | ID: Grayich undlencolor with to yellow-brown network; aberoraag Backsh and white Biches a Dark aatior Ps taf base, Solitary. Muddy or fine sitt and sand bottoms, occasionally neat mols in 4-120 m. Indio- West Pacifio: Rad Sea and &, Aftica to Fifi. - 8. Japan | Cawa Tiggeitish- Juvenile 1D: Black with latge white spots, yellow. snout; white band across top of snout, bright yellow patolt on back. ¥i Seer sbvoe below 20 11 on steep slopes, eeghard shallower on rare occasions."
3,96938621-211d-5df8-bb5a-d78ae4d6f3cf,Spiny Waspfish,Ablabys macracanthus,included,,True,SRC-D0344D62,381,382,ml,high,100,high,,,"ID: Light to dark brown: compressed body, smooth-edged dorsal fin that begins above eye forming a triangular sail-like projection. Solitary or in pairs, sway with water motion. Sand or mud bottoms of coastal reefs in 8-50 m."
4,5f4d48f4-6556-50f3-95af-a4d28635f4bb,Cockatoo Waspfish,Ablabys taenianotus,included,,True,SRC-B853F73C,381,382,bl,high,100,high,,,"ID: Similar to Spiny Waspfish (previous), difficult to distinguish except for higher number of dorsal spines (17 versus 15). Solitary or in pairs. Sand, mud, rubble and weed bottoms of coastal reefs to 20 m. | De paliae to ore Spiny ae ner ot Noel aptnes (re 18 Saya Sandie Her tate. Wor: Yoo: Annum Sas - ‘bottome of coastal reeis:to Pit. 8. Japan to"
5,3c2c8cf3-2d93-5cec-853a-9dfeee69666b,Bengal Sergeant,Abudefduf bengalensis,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-0AFE4F6E,61,62,tl,high,100,medium,,,ID: Whitish to pale ray with 6-7 black bars; only member of genus Abudefduf to have rounded tail lobes. Coastal and lagoon reefs to 6m.
6,16bfc131-a3ec-546f-9fd9-2be8edd961ae,Black-tail Sergeant,Abudefduf lorenzi,included,,True,SRC-081BDB6C,61,62,tr,high,100,high,,,ID: Whitish to yellowish with 5-6 black bars: large black blotch on base of tail. Protected coastal areas near shore. frequently next to docks or breakwaters in jess than 6 m.
7,7760d7df-879d-505a-9252-5c27173a1317,Yellowtail Sergeant,Abudefduf notatus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-ECC2A487,61,62,mr,high,100,medium,,,"ID: Gray with 5 narrow white bars (including band on tail base) yellow tail. Usually form schools, but occasionally solitary. Rocky inshore reefs with moderate to song wave action to 12 m."
8,ae6bf313-0729-545b-a855-4fb333210e63,Banded Sergeant,Abudefduf septemfasciatus,included,,True,SRC-34739D43,61,62,bl,high,100,high,,,"ID: Whitish with 6-7 dark grayish bars, upper first 2-3 bars often intensely dark. Form small groups. Rocky inshore reefs with mild to moderate surge conditions to 3m."
9,51155428-f9d8-509d-967e-3baebd4c1b4f,Scissortail Sergeant,Abudefduf sexfasciatus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-A8C0F998,61,62,ml,high,100,medium,,,ID: Whitish with 5 black bars; bold black borders on tail. Usually form groups; feed on plankton in mid-water. Coastal and offshore reefs to 15 m.
10,2cd0b193-4d6a-53cc-9d43-05529a8804bf,Blackspot Sergeant,Abudefduf sordidus,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-8BF7DB85,61,62,br,high,100,medium,,,ID: Grayish with 5-6 wide dark gray bars and narrow white bars between; small black saddle marking on upper base of tail Usually form small groups. Rocky shoreline reefs with mild to moderate surge to 3m.
11,dd2f3443-0ea0-5857-ab10-0e75bf2904b0,Indo-Pacific Sergeant,Abudefduf vaigiensis,pending_review,account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-BAAD52E7,62,63,tl,high,100,medium,,,ID: Gray with 5 black to purple or blue bars (including bar at tail base); frequently with yellow back. Usually form feeding groups in mid-water or guard nests inside rocky crevices. Shoreline reefs and outer slopes to 12 m.
12,69a95baa-cf5f-5268-bba9-9bf5af3f98db,Green Sergeant,Abudefduf whitleyi,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-B1C315B7,62,63,tr,high,95.5,medium,,,ID: Pale green to yellowish green and blue-green with 4-5 narrow black bars; tail and outer edges of dorsal and anal fins . blackish. Solitary or form groups. Outer edge of reefs and surge gutters to 5 m.
13,d7c42740-e6ee-51fa-b70d-797a9d76c1a7,Chlupaty's Tilefish,Acanthocepola breviata,pending_review,identity confidence is below the inclusion threshold; account transcription confidence is not high; identification descriptions are not high-confidence transcriptions,True,SRC-9BC73163,287,288,ml,low,,low,,,1D: Sky btue with pair of darker blue stripes on cheek; pase pee Rubble slopes 090-08 mi
14,80770b88-64ff-5c99-8170-44b896dae9e5,Spiny Chromis,Acanthochromis polyacanthus,included,,True,SRC-D649BC82,86,87,ml,high,100,high,,,"ID: Visual ID nearly impossible due to highly variable color and markings depending on geographic location. Similar in shape to Chromis damselfishes, but much larger than most. Usually in pairs. Shoreline, lagoon and outer reefs to 65 m."
