creature_id,common_name,exclusion_reason
000948be-40ec-5fac-a83a-e4f64ecc1d8e,Vanderbilt's Chromis,account transcription confidence is not high; no identification trait transcription
000961c8-1cb5-5712-a5aa-a1d382cd6433,Hyaline Cardinalfish,account transcription confidence is not high; identification traits are not high-confidence transcriptions
00c7de00-8405-5983-9302-5f60544992c1,Guam Reef Damsel,identity confidence is below the starter-pack threshold; account transcription confidence is not high
00ce79f8-d243-5a43-9a86-7273fd1d3810,Knife Razorfish,eligible but outside the deterministic 40-record starter-pack limit
00d6cdd7-ccfb-5c54-9f7d-c7f369078524,Twinspot Goby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
00f689e6-cfc3-55e7-88c9-c4265a122e53,Picturesque Dragonet,eligible but outside the deterministic 40-record starter-pack limit
011cdb74-eaa5-5851-8ae7-3bba7319f9d2,Starry Triggerfish,eligible but outside the deterministic 40-record starter-pack limit
014d038e-a327-5ea4-8d25-5f3b75f9e9e1,Orangespot Cardinalfish,eligible but outside the deterministic 40-record starter-pack limit
01b7d3eb-1132-5744-bfea-48b4843ea278,Scaly Chromis,account transcription confidence is not high; identification traits are not high-confidence transcriptions
01c91070-7382-5486-a608-957e430042d2,Five-bar Shrimpgoby,account transcription confidence is not high; identification traits are not high-confidence transcriptions
01eac3b1-a6ce-5214-b000-f19caae10f85,Freckled Goatfish,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
02205eb9-4a5a-5766-984f-ba405e0de1c1,Silver Trevally Jack,account transcription confidence is not high; identification traits are not high-confidence transcriptions
023d7dc1-4eb0-5b33-ab53-6fe8a8506535,Bloch's Bigeye,identity confidence is below the starter-pack threshold; account transcription confidence is not high
0258800f-2e36-5c54-a815-ab00e8c56755,Black-barred Goby,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
02acb9e9-2db3-5ec4-8b00-810fcafc46ae,Allen's Blenny,identity confidence is below the starter-pack threshold; account transcription confidence is not high; identification traits are not high-confidence transcriptions
